predicate,type,laws
"obfuscate_comparison_details(ui_element, product_details)",misdirection,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""Austria Data Protection Act (DSG) - Section 24 (6)"", ""Dutch Policy Rules Administrative Fines 2019"", ""Federal Constitution (Austria) - Article 8"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 03"", ""GDPR - Article 04(11)"", ""GDPR - Article 04(16)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 39"", ""GDPR - Article 57"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Terms in Consumer Contracts Regulations, 1999"", ""ePrivacy Directive - Article 5(3)""]"
"use_confirmshaming_language(ui_element, opt_out_button)",misdirection,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""Austria Data Protection Act (DSG) - Section 24 (6)"", ""Dutch Policy Rules Administrative Fines 2019"", ""Federal Constitution (Austria) - Article 8"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 03"", ""GDPR - Article 04(11)"", ""GDPR - Article 04(16)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 39"", ""GDPR - Article 57"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Terms in Consumer Contracts Regulations, 1999"", ""ePrivacy Directive - Article 5(3)""]"
"disguise_ad_as_content(ui_element, ad_content)",misdirection,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""Austria Data Protection Act (DSG) - Section 24 (6)"", ""Dutch Policy Rules Administrative Fines 2019"", ""Federal Constitution (Austria) - Article 8"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 03"", ""GDPR - Article 04(11)"", ""GDPR - Article 04(16)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 39"", ""GDPR - Article 57"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Terms in Consumer Contracts Regulations, 1999"", ""ePrivacy Directive - Article 5(3)""]"
"display_fake_stock_counter(ui_element, stock_counter)",scarcity,"[""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002""]"
"inject_misleading_demand_message(ui_element, demand_message)",scarcity,"[""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002""]"
"simulate_high_demand(ui_element, sales_counter)",scarcity,"[""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002""]"
"generate_fake_endorsement(endorsement, location)",social proof,"[""CAN-SPAM Act - Section 5(a)(1) & 15 U.S.C. § 7704(a)(1)"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Unfair Terms in Consumer Contracts Regulations, 1999""]"
inject_random_time(time),social proof,"[""CAN-SPAM Act - Section 5(a)(1) & 15 U.S.C. § 7704(a)(1)"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Unfair Terms in Consumer Contracts Regulations, 1999""]"
"display_activity_message_overlay(message, item)",social proof,"[""CAN-SPAM Act - Section 5(a)(1) & 15 U.S.C. § 7704(a)(1)"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Unfair Terms in Consumer Contracts Regulations, 1999""]"
"inject_fake_timer(ui_element, animation_state)",urgency,"[""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Washington Consumer Protection Act - Wash. Rev. Code §§ 19.86.010""]"
"reset_countdown_timer(ui_element, default_configuration)",urgency,"[""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Washington Consumer Protection Act - Wash. Rev. Code §§ 19.86.010""]"
"display_urgency_message(ui_element, prominence_level)",urgency,"[""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Washington Consumer Protection Act - Wash. Rev. Code §§ 19.86.010""]"
"force_user_action(ui_element, desired_action)",forced_action,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""Children’s Online Privacy Protection Act Rule"", ""Codice Privacy - Article 130"", ""Consumer Financial Protection Act"", ""Consumer Rights Act, 2015"", ""District’s Consumer Protection Procedures Act § 28-3904"", ""Electronic Fund Transfer Act (EFTA)"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 09"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 42"", ""GDPR - Article 43"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""GDPR - Recital 32"", ""German Competition Act - Section 19a(2)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 2(1)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 21"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 22"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Spanish Data Protection Law (LOPDGDD) - Article 11"", ""Spanish Data Protection Law (LOPDGDD) - Article 6"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Washington Consumer Protection Act - Wash. Rev. Code §§ 19.86.010"", ""ePrivacy Directive - Article 5(3)""]"
"hide_opt_out(ui_element, opt_out_link)",forced_action,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""Children’s Online Privacy Protection Act Rule"", ""Codice Privacy - Article 130"", ""Consumer Financial Protection Act"", ""Consumer Rights Act, 2015"", ""District’s Consumer Protection Procedures Act § 28-3904"", ""Electronic Fund Transfer Act (EFTA)"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 09"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 42"", ""GDPR - Article 43"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""GDPR - Recital 32"", ""German Competition Act - Section 19a(2)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 2(1)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 21"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 22"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Spanish Data Protection Law (LOPDGDD) - Article 11"", ""Spanish Data Protection Law (LOPDGDD) - Article 6"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Washington Consumer Protection Act - Wash. Rev. Code §§ 19.86.010"", ""ePrivacy Directive - Article 5(3)""]"
"repeat_request(ui_element, request_message)",forced_action,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""Children’s Online Privacy Protection Act Rule"", ""Codice Privacy - Article 130"", ""Consumer Financial Protection Act"", ""Consumer Rights Act, 2015"", ""District’s Consumer Protection Procedures Act § 28-3904"", ""Electronic Fund Transfer Act (EFTA)"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 09"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 42"", ""GDPR - Article 43"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""GDPR - Recital 32"", ""German Competition Act - Section 19a(2)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 2(1)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 21"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 22"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""Spanish Data Protection Law (LOPDGDD) - Article 11"", ""Spanish Data Protection Law (LOPDGDD) - Article 6"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Washington Consumer Protection Act - Wash. Rev. Code §§ 19.86.010"", ""ePrivacy Directive - Article 5(3)""]"
