predicate,type,laws
hide_cancellation_option(service),obstruction,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""California Consumers Legal Remedies Act, CAL. CIV. CODE § 1750"", ""California’s False Advertising Law, CAL. BUS. & PROF CODE § 17500"", ""Children’s Online Privacy Protection Act Rule"", ""Codice Privacy - Article 130"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Financial Protection Act"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Fund Transfer Act (EFTA)"", ""Fair Credit Reporting Act - 15 U.S.C. §§1681-1681"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 33"", ""GDPR - Article 42"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""Italian Consumer Code - Article 20"", ""Italian Consumer Code - Article 21"", ""Italian Consumer Code - Article 22"", ""Italian Consumer Code - Article 24"", ""Italian Consumer Code - Article 25"", ""Marketing Control Act - Section 6, 8 and 9"", ""New York Consumer Fraud Statute, N.Y. GEN. BUS. LAW § 349"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 2(1)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 22"", ""ROSCA - Section 4, 15 U.S.C. § 8401"", ""ROSCA - Section 4, 15 U.S.C. § 8402"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""ROSCA - Section 4, 15 U.S.C. § 8404"", ""ROSCA - Section 4, 15 U.S.C. § 8405"", ""Spanish Law on Information Society Services - Article 21"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""ePrivacy Directive - Article 5(3)""]"
"require_customer_service_interaction(service, action)",obstruction,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""California Consumers Legal Remedies Act, CAL. CIV. CODE § 1750"", ""California’s False Advertising Law, CAL. BUS. & PROF CODE § 17500"", ""Children’s Online Privacy Protection Act Rule"", ""Codice Privacy - Article 130"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Financial Protection Act"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Fund Transfer Act (EFTA)"", ""Fair Credit Reporting Act - 15 U.S.C. §§1681-1681"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 33"", ""GDPR - Article 42"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""Italian Consumer Code - Article 20"", ""Italian Consumer Code - Article 21"", ""Italian Consumer Code - Article 22"", ""Italian Consumer Code - Article 24"", ""Italian Consumer Code - Article 25"", ""Marketing Control Act - Section 6, 8 and 9"", ""New York Consumer Fraud Statute, N.Y. GEN. BUS. LAW § 349"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 2(1)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 22"", ""ROSCA - Section 4, 15 U.S.C. § 8401"", ""ROSCA - Section 4, 15 U.S.C. § 8402"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""ROSCA - Section 4, 15 U.S.C. § 8404"", ""ROSCA - Section 4, 15 U.S.C. § 8405"", ""Spanish Law on Information Society Services - Article 21"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""ePrivacy Directive - Article 5(3)""]"
"create_obstacle_for_privacy_settings(service, setting)",obstruction,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""California Consumers Legal Remedies Act, CAL. CIV. CODE § 1750"", ""California’s False Advertising Law, CAL. BUS. & PROF CODE § 17500"", ""Children’s Online Privacy Protection Act Rule"", ""Codice Privacy - Article 130"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Financial Protection Act"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Electronic Fund Transfer Act (EFTA)"", ""Fair Credit Reporting Act - 15 U.S.C. §§1681-1681"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 33"", ""GDPR - Article 42"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""Italian Consumer Code - Article 20"", ""Italian Consumer Code - Article 21"", ""Italian Consumer Code - Article 22"", ""Italian Consumer Code - Article 24"", ""Italian Consumer Code - Article 25"", ""Marketing Control Act - Section 6, 8 and 9"", ""New York Consumer Fraud Statute, N.Y. GEN. BUS. LAW § 349"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 2(1)"", ""Privacy and Electronic Communications (EC Directive) Regulation 2003 - Regulation 22"", ""ROSCA - Section 4, 15 U.S.C. § 8401"", ""ROSCA - Section 4, 15 U.S.C. § 8402"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""ROSCA - Section 4, 15 U.S.C. § 8404"", ""ROSCA - Section 4, 15 U.S.C. § 8405"", ""Spanish Law on Information Society Services - Article 21"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""ePrivacy Directive - Article 5(3)""]"
"hide_additional_costs(ui_element, purchase_process)",sneaking,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""California Consumers Legal Remedies Act, CAL. CIV. CODE § 1750"", ""California’s False Advertising Law, CAL. BUS. & PROF CODE § 17500"", ""Codice Privacy - Article 130"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Financial Protection Act"", ""Consumer Fraud Act, New Jersey, Stat. Ann. § 56:8-2"", ""Consumer Protection Cooperation (CPC) Regulation (2006/2004/EC)"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Directive 95/46 - Article 2(h)"", ""Directive 95/46 - Article 6"", ""Directive 95/46 - Article 7"", ""District’s Consumer Protection Procedures Act § 28-3904"", ""Dutch Civil Code (Unfair Commercial Practices) - Section 6.3.3A"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""Electronic Fund Transfer Act (EFTA)"", ""Fair Credit Reporting Act - 15 U.S.C. §§1681-1681"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 08"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 33"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""GDPR - Recital 32"", ""German Competition Act - Section 19a(2)"", ""Gramm Leach Bliley Act Act - Section 501, 15 U.S.C. § 6801"", ""Gramm Leach Bliley Act Act - Section 502, 15 U.S.C. § 6802"", ""Gramm Leach Bliley Act Act - Section 503, 15 U.S.C. § 6803"", ""Italian Consumer Code - Article 20"", ""Italian Consumer Code - Article 21"", ""Italian Consumer Code - Article 22"", ""Italian Consumer Code - Article 24"", ""Italian Consumer Code - Article 25"", ""New York Consumer Fraud Statute, N.Y. GEN. BUS. LAW § 349"", ""North Carolina Automatic Renewal Statute, N.C.G.S. Section 75-41(a)"", ""Privacy Rule, 16 C.F.R. Part 313 (Recodified at 12 C.F.R. § 1016)"", ""ROSCA - Section 4, 15 U.S.C. § 8401"", ""ROSCA - Section 4, 15 U.S.C. § 8402"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""ROSCA - Section 4, 15 U.S.C. § 8404"", ""ROSCA - Section 4, 15 U.S.C. § 8405"", ""Romanian Data Protection Act (Law No 677/2001) - Article 32"", ""Spanish Data Protection Law (LOPDGDD) - Article 11"", ""Spanish Data Protection Law (LOPDGDD) - Article 6"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Commercial Practices Directive - Article 5"", ""Unfair Commercial Practices Directive - Article 6"", ""Unfair Commercial Practices Directive - Article 7"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Unfair Terms in Consumer Contracts Regulations, 1999"", ""ePrivacy Directive - Article 5(3)""]"
"create_hidden_subscription(ui_element, user_action)",sneaking,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""California Consumers Legal Remedies Act, CAL. CIV. CODE § 1750"", ""California’s False Advertising Law, CAL. BUS. & PROF CODE § 17500"", ""Codice Privacy - Article 130"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Financial Protection Act"", ""Consumer Fraud Act, New Jersey, Stat. Ann. § 56:8-2"", ""Consumer Protection Cooperation (CPC) Regulation (2006/2004/EC)"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Directive 95/46 - Article 2(h)"", ""Directive 95/46 - Article 6"", ""Directive 95/46 - Article 7"", ""District’s Consumer Protection Procedures Act § 28-3904"", ""Dutch Civil Code (Unfair Commercial Practices) - Section 6.3.3A"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""Electronic Fund Transfer Act (EFTA)"", ""Fair Credit Reporting Act - 15 U.S.C. §§1681-1681"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 08"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 33"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""GDPR - Recital 32"", ""German Competition Act - Section 19a(2)"", ""Gramm Leach Bliley Act Act - Section 501, 15 U.S.C. § 6801"", ""Gramm Leach Bliley Act Act - Section 502, 15 U.S.C. § 6802"", ""Gramm Leach Bliley Act Act - Section 503, 15 U.S.C. § 6803"", ""Italian Consumer Code - Article 20"", ""Italian Consumer Code - Article 21"", ""Italian Consumer Code - Article 22"", ""Italian Consumer Code - Article 24"", ""Italian Consumer Code - Article 25"", ""New York Consumer Fraud Statute, N.Y. GEN. BUS. LAW § 349"", ""North Carolina Automatic Renewal Statute, N.C.G.S. Section 75-41(a)"", ""Privacy Rule, 16 C.F.R. Part 313 (Recodified at 12 C.F.R. § 1016)"", ""ROSCA - Section 4, 15 U.S.C. § 8401"", ""ROSCA - Section 4, 15 U.S.C. § 8402"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""ROSCA - Section 4, 15 U.S.C. § 8404"", ""ROSCA - Section 4, 15 U.S.C. § 8405"", ""Romanian Data Protection Act (Law No 677/2001) - Article 32"", ""Spanish Data Protection Law (LOPDGDD) - Article 11"", ""Spanish Data Protection Law (LOPDGDD) - Article 6"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Commercial Practices Directive - Article 5"", ""Unfair Commercial Practices Directive - Article 6"", ""Unfair Commercial Practices Directive - Article 7"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Unfair Terms in Consumer Contracts Regulations, 1999"", ""ePrivacy Directive - Article 5(3)""]"
"preselect_option(ui_element, default_option)",sneaking,"[""Arizona Consumer Fraud Act, A.R.S. § 44-1521"", ""California Consumers Legal Remedies Act, CAL. CIV. CODE § 1750"", ""California’s False Advertising Law, CAL. BUS. & PROF CODE § 17500"", ""Codice Privacy - Article 130"", ""Consumer Contracts (Information Cancellation and Additional Charges) Regulations, 2013"", ""Consumer Financial Protection Act"", ""Consumer Fraud Act, New Jersey, Stat. Ann. § 56:8-2"", ""Consumer Protection Cooperation (CPC) Regulation (2006/2004/EC)"", ""Consumer Protection from Unfair Trading Regulations, 2008"", ""Consumer Rights Act, 2015"", ""Directive 95/46 - Article 2(h)"", ""Directive 95/46 - Article 6"", ""Directive 95/46 - Article 7"", ""District’s Consumer Protection Procedures Act § 28-3904"", ""Dutch Civil Code (Unfair Commercial Practices) - Section 6.3.3A"", ""Electronic Commerce (EC Directive) Regulations 2002"", ""Electronic Fund Transfer Act (EFTA)"", ""Fair Credit Reporting Act - 15 U.S.C. §§1681-1681"", ""Federal Trade Commission Act - Section 5(a), 15 U.S.C. § 45(a)"", ""French Data Protection Act - Article 82"", ""GDPR - Article 04(11)"", ""GDPR - Article 05"", ""GDPR - Article 06"", ""GDPR - Article 07"", ""GDPR - Article 08"", ""GDPR - Article 12"", ""GDPR - Article 13"", ""GDPR - Article 14"", ""GDPR - Article 15"", ""GDPR - Article 17"", ""GDPR - Article 21"", ""GDPR - Article 24"", ""GDPR - Article 25"", ""GDPR - Article 28"", ""GDPR - Article 32"", ""GDPR - Article 33"", ""GDPR - Article 37"", ""GDPR - Article 38"", ""GDPR - Article 58"", ""GDPR - Article 83"", ""GDPR - Recital 32"", ""German Competition Act - Section 19a(2)"", ""Gramm Leach Bliley Act Act - Section 501, 15 U.S.C. § 6801"", ""Gramm Leach Bliley Act Act - Section 502, 15 U.S.C. § 6802"", ""Gramm Leach Bliley Act Act - Section 503, 15 U.S.C. § 6803"", ""Italian Consumer Code - Article 20"", ""Italian Consumer Code - Article 21"", ""Italian Consumer Code - Article 22"", ""Italian Consumer Code - Article 24"", ""Italian Consumer Code - Article 25"", ""New York Consumer Fraud Statute, N.Y. GEN. BUS. LAW § 349"", ""North Carolina Automatic Renewal Statute, N.C.G.S. Section 75-41(a)"", ""Privacy Rule, 16 C.F.R. Part 313 (Recodified at 12 C.F.R. § 1016)"", ""ROSCA - Section 4, 15 U.S.C. § 8401"", ""ROSCA - Section 4, 15 U.S.C. § 8402"", ""ROSCA - Section 4, 15 U.S.C. § 8403"", ""ROSCA - Section 4, 15 U.S.C. § 8404"", ""ROSCA - Section 4, 15 U.S.C. § 8405"", ""Romanian Data Protection Act (Law No 677/2001) - Article 32"", ""Spanish Data Protection Law (LOPDGDD) - Article 11"", ""Spanish Data Protection Law (LOPDGDD) - Article 6"", ""Spanish Law on Information Society Services - Article 22"", ""Unfair Commercial Practices Directive - Article 5"", ""Unfair Commercial Practices Directive - Article 6"", ""Unfair Commercial Practices Directive - Article 7"", ""Unfair Competition Law, CAL. BUS. & PROF CODE § 17200"", ""Unfair Terms in Consumer Contracts Regulations, 1999"", ""ePrivacy Directive - Article 5(3)""]"
